District,Ward,VT1,VT2,VT3,VT4
BA ĐÌNH,Cống Vị,"  149,88 ","  80,30 ","  62,43 ","  55,27 "
BA ĐÌNH,Giảng Võ,"  186,89 ","  96,43 ","  74,31 ","  65,38 "
BA ĐÌNH,Kim Mã,"  196,90 ","  101,09 ","  77,80 ","  68,39 "
BA ĐÌNH,Liễu Giai,"  198,63 ","  102,18 ","  78,68 ","  69,19 "
BA ĐÌNH,Nguyễn Trung Trực,"  193,82 ","  99,76 ","  76,83 ","  67,57 "
BA ĐÌNH,Ngọc Hà,"  189,95 ","  97,79 ","  75,32 ","  66,24 "
BA ĐÌNH,Ngọc Khánh,"  209,24 ","  106,74 ","  82,03 ","  72,03 "
BA ĐÌNH,Phúc Xá,"  132,53 ","  71,87 ","  56,03 ","  49,70 "
BA ĐÌNH,Quán Thánh,"  213,99 ","  108,60 ","  83,35 ","  73,13 "
BA ĐÌNH,Thành Công,"  181,19 ","  94,00 ","  72,53 ","  63,87 "
BA ĐÌNH,Trúc Bạch,"  180,83 ","  93,80 ","  72,37 ","  63,73 "
BA ĐÌNH,Vĩnh Phúc,"  121,92 ","  66,97 ","  52,36 ","  46,53 "
BA ĐÌNH,Điện Biên,"  316,99 ","  153,76 ","  116,68 ","  101,53 "
BA ĐÌNH,Đội Cấn,"  189,31 ","  98,28 ","  75,85 ","  66,80 "
BẮC TỪ LIÊM,Cổ Nhuế 1,"  92,42 ","  51,75 ","  39,88 ","  35,45 "
BẮC TỪ LIÊM,Cổ Nhuế 2,"  57,34 ","  34,95 ","  27,61 ","  24,72 "
BẮC TỪ LIÊM,Liên Mạc,"  50,18 ","  31,60 ","  25,13 ","  22,50 "
BẮC TỪ LIÊM,Minh Khai,"  50,35 ","  31,42 ","  25,00 ","  22,37 "
BẮC TỪ LIÊM,Phú Diễn,"  86,32 ","  48,80 ","  38,06 ","  33,54 "
BẮC TỪ LIÊM,Phúc Diễn,"  57,37 ","  34,63 ","  27,99 ","  24,42 "
BẮC TỪ LIÊM,Thượng Cát,"  51,77 ","  32,08 ","  25,45 ","  22,89 "
BẮC TỪ LIÊM,Thụy Phương,"  42,94 ","  28,24 ","  22,96 ","  20,39 "
BẮC TỪ LIÊM,Tây Tựu,"  52,00 ","  32,44 ","  25,61 ","  23,03 "
BẮC TỪ LIÊM,Xuân Tảo,"  90,27 ","  50,76 ","  39,06 ","  34,76 "
BẮC TỪ LIÊM,Xuân Đỉnh,"  79,87 ","  45,52 ","  35,12 ","  31,38 "
BẮC TỪ LIÊM,Đông Ngạc,"  49,43 ","  29,10 ","  23,36 ","  20,82 "
BẮC TỪ LIÊM,Đức Thắng,"  49,20 ","  31,49 ","  24,85 ","  22,55 "
CẦU GIẤY,Dịch Vọng,"  111,96 ","  61,94 ","  48,40 ","  43,06 "
CẦU GIẤY,Dịch Vọng Hậu,"  111,72 ","  61,60 ","  48,10 ","  42,77 "
CẦU GIẤY,Mai Dịch,"  111,30 ","  61,33 ","  47,66 ","  42,57 "
CẦU GIẤY,Nghĩa Tân,"  109,40 ","  60,61 ","  47,38 ","  42,16 "
CẦU GIẤY,Nghĩa Đô,"  115,84 ","  62,52 ","  48,80 ","  43,38 "
CẦU GIẤY,Quan Hoa,"  127,12 ","  68,70 ","  53,40 ","  47,34 "
CẦU GIẤY,Trung Hoà,"  117,59 ","  64,52 ","  50,33 ","  44,72 "
CẦU GIẤY,Yên Hoà,"  109,89 ","  60,72 ","  47,44 ","  42,20 "
HAI BÀ TRƯNG,Bách Khoa,"  171,59 ","  90,09 ","  68,70 ","  60,62 "
HAI BÀ TRƯNG,Bùi Thị Xuân,"  229,87 ","  115,96 ","  87,58 ","  76,76 "
HAI BÀ TRƯNG,Bạch Mai,"  186,47 ","  96,97 ","  73,78 ","  65,00 "
HAI BÀ TRƯNG,Bạch Đằng,"  124,32 ","  67,90 ","  52,25 ","  46,39 "
HAI BÀ TRƯNG,Cầu Dền,"  206,66 ","  105,39 ","  79,82 ","  70,08 "
HAI BÀ TRƯNG,Lê Đại Hành,"  218,14 ","  110,69 ","  83,73 ","  73,45 "
HAI BÀ TRƯNG,Minh Khai,"  169,46 ","  89,27 ","  68,13 ","  60,15 "
HAI BÀ TRƯNG,Nguyễn Du,"  278,78 ","  137,60 ","  103,36 ","  90,23 "
HAI BÀ TRƯNG,Ngô Thì Nhậm,"  274,15 ","  135,56 ","  101,88 ","  88,96 "
HAI BÀ TRƯNG,Phạm Đình Hổ,"  207,79 ","  105,99 ","  80,27 ","  70,48 "
HAI BÀ TRƯNG,Phố Huế,"  224,71 ","  113,77 ","  86,01 ","  75,42 "
HAI BÀ TRƯNG,Quỳnh Lôi,"  158,87 ","  83,32 ","  63,53 ","  56,04 "
HAI BÀ TRƯNG,Quỳnh Mai,"  138,86 ","  74,65 ","  57,24 ","  50,70 "
HAI BÀ TRƯNG,Thanh Lương,"  107,69 ","  59,97 ","  46,35 ","  41,28 "
HAI BÀ TRƯNG,Thanh Nhàn,"  130,93 ","  71,83 ","  55,33 ","  49,17 "
HAI BÀ TRƯNG,Trương Định,"  113,74 ","  63,16 ","  48,79 ","  43,43 "
HAI BÀ TRƯNG,Vĩnh Tuy,"  103,95 ","  58,20 ","  45,03 ","  40,13 "
HAI BÀ TRƯNG,Đống Mác,"  132,91 ","  72,41 ","  55,69 ","  49,43 "
HAI BÀ TRƯNG,Đồng Nhân,"  162,67 ","  86,99 ","  66,62 ","  58,96 "
HAI BÀ TRƯNG,Đồng Tâm,"  154,34 ","  82,13 ","  62,83 ","  55,56 "
HOÀN KIẾM,Chương Dương,"  162,81 ","  87,92 ","  67,48 ","  59,81 "
